run,best_found,true_value,error,best_position
1,tensor(0.0199),nan,tensor(nan),"[[0.742928683757782], [-5.0], [4.995213985443115], [0.07514498382806778], [-2.444535970687866]]"
1,tensor(0.0042),nan,tensor(nan),"[[0.2865762710571289], [-2.4558708667755127], [3.5345802307128906], [-4.24997091293335], [1.2870831489562988]]"
1,tensor(0.0038),nan,tensor(nan),"[[0.2580801844596863], [-2.3216779232025146], [3.5004804134368896], [-5.0], [2.0066304206848145]]"
1,tensor(0.0081),nan,tensor(nan),"[[0.12333230674266815], [-1.0156999826431274], [0.6158282160758972], [-2.9766478538513184], [1.7125319242477417]]"
