run,best_found,true_value,error,best_position
1,0.0,0.0,0.0,"[[-0.4248241186141968], [0.2703034281730652], [-0.10793280601501465], [-0.28732830286026], [0.1371140480041504]]"
1,3.0,0.0,3.0,"[[0.33576327562332153], [-0.8328072428703308], [1.1126573085784912], [0.5241187810897827], [-0.18557560443878174]]"
1,3.0,0.0,3.0,"[[0.33576327562332153], [-0.8328072428703308], [1.1126573085784912], [0.5241187810897827], [-0.18557560443878174]]"
1,45.0,0.0,45.0,"[[0.038332462310791016], [-2.746591091156006], [4.213991165161133], [3.768007755279541], [1.9719903469085693]]"
