run,best_found,true_value,error,best_position
1,-959.6385498046875,-959.6407,0.002150195312538017,"[[512.0], [404.27484130859375]]"
1,-861.2459716796875,-959.6407,98.39472832031254,"[[512.0], [394.5052490234375]]"
1,tensor(-959.6233),-959.6407,tensor(0.0174),"[[512.0], [404.1080627441406]]"
1,tensor(-959.6233),-959.6407,tensor(0.0174),"[[512.0], [404.1080627441406]]"
1,tensor(-959.6233),-959.6407,tensor(0.0174),"[[512.0], [404.1080627441406]]"
1,tensor(-959.6407),-959.6407,tensor(-6.1035e-05),"[[512.0], [404.2304382324219]]"
1,tensor(-959.6407),-959.6407,tensor(-6.1035e-05),"[[512.0], [404.2304382324219]]"
