run,best_found,true_value,error,best_position
1,-0.9148826003074646,-1.0,0.0851173996925354,"[[-2.1415953636169434], [-3.326486110687256], [2.168877601623535], [-2.195399284362793], [-2.1039769649505615]]"
1,-0.32292747497558594,-1.0,0.6770725250244141,"[[3.217487335205078], [-2.26987624168396], [4.029338836669922], [2.2884771823883057], [-0.425281822681427]]"
